[NIMI],[sisap mat],[ulkop mat],[vinosit mat],[H],[Lmin],[Lmax],[moduli],[eriste],[eriste min],[eriste max],[sisap d],[ulkop d],[vinop d],[Fk kN]
PD 100,B500 K,B600 KX,"1,4301",100,600,3000,300,40,35,45,5,5,5,4.95
PD 120,B500 K,B600 KX,"1,4301",120,600,3000,300,60,46,65,5,5,5,4.95
PD 140,B500 K,B600 KX,"1,4301",140,600,3000,300,80,66,85,5,5,5,4.95
PD 150,B500 K,B600 KX,"1,4301",150,600,3000,300,90,86,95,5,5,5,4.95
PD 160,B500 K,B600 KX,"1,4301",160,600,3000,300,100,96,105,5,5,5,4.95
PD 180,B500 K,B600 KX,"1,4301",180,600,3000,300,120,106,125,5,5,5,4.95
PD 200,B500 K,B600 KX,"1,4301",200,600,3000,300,140,126,145,5,5,5,4.95
PD 210,B500 K,B600 KX,"1,4301",210,600,3000,300,150,146,155,5,5,5,4.95
PD 220,B500 K,B600 KX,"1,4301",220,600,3000,300,160,156,165,5,5,5,4.95
PD 240,B500 K,B600 KX,"1,4301",240,600,3000,300,180,166,185,5,5,5,4.95
PD 260,B500 K,B600 KX,"1,4301",260,600,3000,300,200,186,205,5,5,5,4.95
PD 280,B500 K,B600 KX,"1,4301",280,600,3000,300,220,206,225,5,5,5,4.95
PD 300,B500 K,B600 KX,"1,4301",300,600,3000,300,240,226,245,5,5,5,4.95
PD 320,B500 K,B600 KX,"1,4301",320,600,3000,300,260,246,265,5,5,5,4.95
PD 340,B500 K,B600 KX,"1,4301",340,600,3000,300,280,266,285,5,5,5,4.95
PD 360,B500 K,B600 KX,"1,4301",360,600,3000,300,300,286,305,5,5,5,4.95
PD 380,B500 K,B600 KX,"1,4301",380,600,3000,300,320,306,325,5,5,5,4.95
PD 400,B500 K,B600 KX,"1,4301",400,600,3000,300,340,326,345,5,5,5,4.95
PD 420,B500 K,B600 KX,"1,4301",420,600,3000,300,360,346,365,5,5,5,4.95
PD 440,B500 K,B600 KX,"1,4301",440,600,3000,300,380,366,385,5,5,5,4.95
PD 450,B500 K,B600 KX,"1,4301",450,600,3000,300,390,386,395,5,5,5,4.95
PD 100-2400,B500 K,B600 KX,"1,4301",100,2400,2400,300,40,35,45,5,5,5,4.95
PD 120-2400,B500 K,B600 KX,"1,4301",120,2400,2400,300,60,46,65,5,5,5,4.95
PD 140-2400,B500 K,B600 KX,"1,4301",140,2400,2400,300,80,66,85,5,5,5,4.95
PD 150-2400,B500 K,B600 KX,"1,4301",150,2400,2400,300,90,86,95,5,5,5,4.95
PD 160-2400,B500 K,B600 KX,"1,4301",160,2400,2400,300,100,96,105,5,5,5,4.95
PD 180-2400,B500 K,B600 KX,"1,4301",180,2400,2400,300,120,106,125,5,5,5,4.95
PD 200-2400,B500 K,B600 KX,"1,4301",200,2400,2400,300,140,126,145,5,5,5,4.95
PD 210-2400,B500 K,B600 KX,"1,4301",210,2400,2400,300,150,146,155,5,5,5,4.95
PD 220-2400,B500 K,B600 KX,"1,4301",220,2400,2400,300,160,156,165,5,5,5,4.95
PD 240-2400,B500 K,B600 KX,"1,4301",240,2400,2400,300,180,166,185,5,5,5,4.95
PD 260-2400,B500 K,B600 KX,"1,4301",260,2400,2400,300,200,186,205,5,5,5,4.95
PD 280-2400,B500 K,B600 KX,"1,4301",280,2400,2400,300,220,206,225,5,5,5,4.95
PD 300-2400,B500 K,B600 KX,"1,4301",300,2400,2400,300,240,226,245,5,5,5,4.95
PD 320-2400,B500 K,B600 KX,"1,4301",320,2400,2400,300,260,246,265,5,5,5,4.95
PD 340-2400,B500 K,B600 KX,"1,4301",340,2400,2400,300,280,266,285,5,5,5,4.95
PD 360-2400,B500 K,B600 KX,"1,4301",360,2400,2400,300,300,286,305,5,5,5,4.95
PD 380-2400,B500 K,B600 KX,"1,4301",380,2400,2400,300,320,306,325,5,5,5,4.95
PD 400-2400,B500 K,B600 KX,"1,4301",400,2400,2400,300,340,326,345,5,5,5,4.95
PD 420-2400,B500 K,B600 KX,"1,4301",420,2400,2400,300,360,346,365,5,5,5,4.95
PD 440-2400,B500 K,B600 KX,"1,4301",440,2400,2400,300,380,366,385,5,5,5,4.95
PD 450-2400,B500 K,B600 KX,"1,4301",450,2400,2400,300,390,386,395,5,5,5,4.95
PD 100-2400,B500 K,B600 KX,"1,4301",100,2700,2700,300,40,35,45,5,5,5,4.95
PD 120-2400,B500 K,B600 KX,"1,4301",120,2700,2700,300,60,46,65,5,5,5,4.95
PD 140-2400,B500 K,B600 KX,"1,4301",140,2700,2700,300,80,66,85,5,5,5,4.95
PD 150-2700,B500 K,B600 KX,"1,4301",150,2700,2700,300,90,86,95,5,5,5,4.95
PD 160-2700,B500 K,B600 KX,"1,4301",160,2700,2700,300,100,96,105,5,5,5,4.95
PD 180-2700,B500 K,B600 KX,"1,4301",180,2700,2700,300,120,106,125,5,5,5,4.95
PD 200-2700,B500 K,B600 KX,"1,4301",200,2700,2700,300,140,126,145,5,5,5,4.95
PD 210-2700,B500 K,B600 KX,"1,4301",210,2700,2700,300,150,146,155,5,5,5,4.95
PD 220-2700,B500 K,B600 KX,"1,4301",220,2700,2700,300,160,156,165,5,5,5,4.95
PD 240-2700,B500 K,B600 KX,"1,4301",240,2700,2700,300,180,166,185,5,5,5,4.95
PD 260-2700,B500 K,B600 KX,"1,4301",260,2700,2700,300,200,186,205,5,5,5,4.95
PD 280-2700,B500 K,B600 KX,"1,4301",280,2700,2700,300,220,206,225,5,5,5,4.95
PD 300-2700,B500 K,B600 KX,"1,4301",300,2700,2700,300,240,226,245,5,5,5,4.95
PD 320-2700,B500 K,B600 KX,"1,4301",320,2700,2700,300,260,246,265,5,5,5,4.95
PD 340-2700,B500 K,B600 KX,"1,4301",340,2700,2700,300,280,266,285,5,5,5,4.95
PD 360-2700,B500 K,B600 KX,"1,4301",360,2700,2700,300,300,286,305,5,5,5,4.95
PD 380-2700,B500 K,B600 KX,"1,4301",380,2700,2700,300,320,306,325,5,5,5,4.95
PD 400-2700,B500 K,B600 KX,"1,4301",400,2700,2700,300,340,326,345,5,5,5,4.95
PD 420-2700,B500 K,B600 KX,"1,4301",420,2700,2700,300,360,346,365,5,5,5,4.95
PD 440-2700,B500 K,B600 KX,"1,4301",440,2700,2700,300,380,366,385,5,5,5,4.95
PD 450-2700,B500 K,B600 KX,"1,4301",450,2700,2700,300,390,386,395,5,5,5,4.95
PPA 100,B600 KX,B600 KX,B600 KX,100,250,250,250,40,35,45,5,5,5,1.375
PPA 120,B600 KX,B600 KX,B600 KX,120,250,250,250,60,46,65,5,5,5,1.375
PPA 140,B600 KX,B600 KX,B600 KX,140,250,250,250,80,66,85,5,5,5,1.375
PPA 150,B600 KX,B600 KX,B600 KX,150,250,250,250,90,86,95,5,5,5,1.375
PPA 160,B600 KX,B600 KX,B600 KX,160,250,250,250,100,96,105,5,5,5,1.375
PPA 180,B600 KX,B600 KX,B600 KX,180,250,250,250,120,106,125,5,5,5,1.375
PPA 200,B600 KX,B600 KX,B600 KX,200,250,250,250,140,126,145,5,5,5,1.375
PPA 210,B600 KX,B600 KX,B600 KX,210,250,250,250,150,146,155,5,5,5,1.375
PPA 220,B600 KX,B600 KX,B600 KX,220,250,250,250,160,156,165,5,5,5,1.375
PPA 240,B600 KX,B600 KX,B600 KX,240,250,250,250,180,166,185,5,5,5,1.375
PPA 260,B600 KX,B600 KX,B600 KX,260,250,250,250,200,186,205,5,5,5,1.375
PPA 280,B600 KX,B600 KX,B600 KX,280,250,250,250,220,206,225,5,5,5,1.375
PPA 300,B600 KX,B600 KX,B600 KX,300,300,300,300,240,226,245,5,5,5,1.375
PPA 320,B600 KX,B600 KX,B600 KX,320,300,300,300,260,246,265,5,5,5,1.375
PPA 340,B600 KX,B600 KX,B600 KX,340,300,300,300,280,266,285,5,5,5,1.375
PPA 360,B600 KX,B600 KX,B600 KX,360,350,350,350,300,286,305,5,5,5,1.375
PPA 380,B600 KX,B600 KX,B600 KX,380,350,350,350,320,306,325,5,5,5,1.375
PPA 400,B600 KX,B600 KX,B600 KX,400,350,350,350,340,326,345,5,5,5,1.33
PPA 420,B600 KX,B600 KX,B600 KX,420,400,400,400,360,346,365,5,5,5,1.30
PPA 440,B600 KX,B600 KX,B600 KX,440,400,400,400,380,366,385,5,5,5,1.12
PPA 450,B600 KX,B600 KX,B600 KX,450,400,400,400,390,386,395,5,5,5,1.06
